__v,_id,_index,_score,_type,createdAt,customer,orderItems,resto,total,updatedAt
0,5dc3f8b8e17ef564d385690a,commandes,1.0,orders,2019-11-07T11:58:00.921+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc3f8b8e17ef5650a85690b', 'price': 6.2, 'product': 'Sandwich Philly Steak', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,6.2,2019-11-07T11:58:00.921+01:00
0,5dc3f992e17ef51c9a85690e,commandes,1.0,orders,2019-11-07T12:01:38.439+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc3f992e17ef54fed85690f', 'price': 6.2, 'product': 'Sandwich Philly Steak', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,6.2,2019-11-07T12:01:38.439+01:00
0,5dc40f71e17ef50570856912,commandes,1.0,orders,2019-11-07T13:34:57.432+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc40f71e17ef59cb8856913', 'price': 9, 'product': 'Salade Maison', 'quantity': 1}]",5d495147b25fcd46b5da1f1e,9.0,2019-11-07T13:34:57.432+01:00
0,5dc41224e17ef50322856916,commandes,1.0,orders,2019-11-07T13:46:28.253+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc41224e17ef56820856917', 'price': 5, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,5.0,2019-11-07T13:46:28.253+01:00
0,5dc4163de17ef5a57085691a,commandes,1.0,orders,2019-11-07T14:03:57.072+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc4163de17ef5621a85691b', 'price': 10, 'product': 'Plat Escalop', 'quantity': 1}]",5d4999f45631f25421ca0052,10.0,2019-11-07T14:03:57.072+01:00
0,5dc418eee17ef50be185691e,commandes,1.0,orders,2019-11-07T14:15:26.275+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc418eee17ef57e1885691f', 'price': 10, 'product': 'Plat Escalop', 'quantity': 1}]",5d4999f45631f25421ca0052,10.0,2019-11-07T14:15:26.275+01:00
0,5dc419bee17ef5be05856920,commandes,1.0,orders,2019-11-07T14:18:54.966+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc419bee17ef528c1856921', 'price': 10, 'product': 'Plat Escalop', 'quantity': 1}]",5d4999f45631f25421ca0052,10.0,2019-11-07T14:18:54.966+01:00
0,5dc4227de17ef533d7856927,commandes,1.0,orders,2019-11-07T14:56:13.17+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc4227de17ef56c19856928', 'price': 10.9, 'product': 'Pizza Garden Special', 'quantity': 1}]",5d495029b25fcd39a8da1f19,10.9,2019-11-07T14:56:13.17+01:00
0,5dc9226ef7bf0195d3e113cb,commandes,1.0,orders,2019-11-11T09:57:18.803+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5dc9226ef7bf017cd8e113cc', 'price': 10, 'product': 'Plat Escalop', 'quantity': 1}]",5d4999f45631f25421ca0052,10.0,2019-11-11T09:57:18.803+01:00
0,5de133406b9f99eef914125d,commandes,1.0,orders,2019-11-29T16:03:28.691+01:00,5db99cf0b4606a3c1cb0e4ac,"[{'_id': '5de133406b9f995cfc14125e', 'comment': 'LES SAUCES ::Avec harissa  SOUHAITEZ VOUS RAJOUTER UN SUPPLEMENT ::Mais  a:a  ', 'price': 15, 'product': 'Sandwich Zinger', 'quantity': 1}]",5d494f91b25fcd0b10da1f15,15.0,2019-11-29T16:03:28.691+01:00
